Barcode,Product Name,Ingredients,Packaging,Brand,is_plastic,is_glass,is_biodegradable,Eco_Score,Eco_Label,Category
8901595862962.0,Ching's Schezwan Chutney,"water, sunflower oil, sugar, ginger, salt, chilli, garlic, onion, corn starch, flavour enhancer (e635), thickener (e1422), acidity regulator (e260), spices (whte pepper, schezwan pepper), preservatives (e202, e211). celery, soy sauce powder (soybean, wheat, salt).",glass,Ching's,0,1,0,1,Moderate,Uncategorized
8901207025372.0,Dabur Honey,honey (100%),glass,Dabur,0,1,0,2,Moderate,Uncategorized
3760010130667.0,Biere abbaye St Erwann 7∞,"eau, malt d'_orge_, malt de _froment_, _millet_, _avoine_, sarrasin, _Èpeautre_, _seigle_, houblon, Èpices, levures.","verre, bouteille, carton, paquet, pcb, spcb",Britt,0,0,0,0,Low,Uncategorized
8711406031766.0,La Trappe Isidor,"eau, malt d'_orge, malt de _froment_, sirop de glucose, houblon, levure","mÈtal, verre, bouteille, bouchon de bouteille, capsule, bouchon de bouteille de vin",Brasserie Koningshoeven,0,0,0,0,Low,Uncategorized
8901512881106.0,Peanut Butter Regular,unknown,"glass, jar",Sundrop,0,1,0,2,Moderate,Uncategorized
3258831003982.0,Dijon Mustard,"mustard seeds (32%), vinegar (31%), water (31%), salt (6%).",glass,"Delouis Fils,Delouis",0,1,0,2,Moderate,Uncategorized
8000500225615.0,Nutella Ferrero,"sugar, edible vegetable oil, hazelnuts 13%, low fat cocoa powder 7.4%, skimmed cow milk powder 6.6%, whey powder, emulsifier (lecithin (ins 322)), flavour (nature identical flavouring substance (vanillin)).","vidrio,70 gl,tarro","Nutella,Ferrero",0,0,0,0,Low,Uncategorized
89006740,NESCAFE,coffee beans,glass,nescafÈ,0,1,0,2,Moderate,Uncategorized
8906021924344.0,Fruitilicious Fruit Blast Mixed Fruit Jam,"sugar, mixed fruit pulp, pectin, (e440), citric acid (e330), natural & artificial flavour, colour (e122), benzoic acid (e210, as preservative).",glass,Apis,0,1,0,2,Moderate,Uncategorized
8901207035364.0,Honey,honey (100 %),"plastic, glass",Dabur,1,1,0,2,Moderate,Uncategorized
8908001105415.0,the Only Pizza mix,"oregano (21%), white onion (19%), red bell pepper (12%), garlic, salt, chilli, black pepper, basil, thyme",glass,Jayanti,0,1,0,2,Moderate,Uncategorized
8901020102021.0,Unknown,unknown,"verre, bouteille",Kingfisher,0,0,0,0,Low,Uncategorized
8901491100519.0,Kurkure,"cereal products (66%) (rice meal (43.5%), corn meal (23%)), edible vegetable oil (palmolein),*seasoning (~spices and condiments, lodised salt, sugar, flavour (natural and nature identical flavouring substances), black salt, tomato powder, acidity regulators (330, 296, 334), colour(160c), maltodextrin) , gram meal (0.5%).",plastic,Unknown,1,0,0,-1,Low,snacks
9141209,Gaufres C√¥te d‚??Or,"glucose syrup, bulking agent (polydextrose), starch, humectant (sorbitol syrup), gelatine, sugar, acids (malic acid, acetic acid), concentrated fruit juices' (1 %) (apple, lime, orange, lemon, strawberry, blackcurrant, raspberry), colours (anthocyanins, vegetable carbon, paprika extract, lutein, curcumin), coconut oil, flavourings, glazing agent (carnauba wa 'equivalent to 6.9% fruit juice.",unknown,Unknown,0,0,0,0,Low,snacks
7.1627E+11,Ginger Crystallized In Dark Chocolate,"dark chocolate (cocoa liquor*, sugar, cocoa butter*, soy lecithin, vanilla), crystallized ginger (ginger, sugar)",ppfilm-packet,Unknown,0,0,0,0,Low,snacks
8901491101837.0,Lays Classics Salted 20rs,"potato, edible vegetable oil (palmolein oil, rice bran oil), salt (1%).",unknown,Unknown,0,0,0,0,Low,snacks
7622201756697.0,Oreo,"refined wheat flour (maida), sugar, fractionated fat, palmolein, invert sugar, cocca solids (2%), leavening agents (500(i), 503(ii)), starch, lodised salt, emulsifier (322), nature identical flavouring substances. *t&c apply allergen information: contains wheat, sulphite, soy. may contain milk and barley. er day",unknown,Unknown,0,0,0,0,Low,snacks
8901491361026.0,masala munch 10rs,"cereal products(61%)(rice meal(42%),corn meal(19%),edible vegetable oil(palmolein,sesame oil),*seasoning(~spices and condiments,iodised salt,maltodextrin,sugar,black salt,acidity regulators(330,296,334),tomato powder,hydrolysed soy protein,flavour(natiral and nature identitical flavouring substances),dxtrose,emulsfier(414),milk solids,edibile starch,flavour enhancers(627&631)),gram meal(3%)
*as flavouring agent . ~contains onion and garlic",plastic,Unknown,1,0,0,-1,Low,snacks
8901063139374.0,BOURBON,"edible maizi ch, 122, 110, 13 & 102), cocoa solids (2.7%), milk souds, raising agents (500) & 503(1) nature identical & artificial (vanilu chocolate milk & milky cocoa) flavouing substances, emulsifiers [471 & 322(1), m.k chocolate (0.1%) [emulsifier (322(1) ad iodsed salt.",unknown,Unknown,0,0,0,0,Low,snacks
8901719125478.0,Parle-G gold 75g,"refined wheat flour (maida) (68%), sugar, refined palm oil, invert sugar syrup* [sugar, citric acid], iodised salt, raising agents [503 (ii), 500 (ii)], milk solids, flour treatment agent [1101 (ii)] and emulsifier of vegetable origin [472e] contains added flavour (artificial flavouring substances vanilla) (d-glucose, levulose) contains: wheat, milk",unknown,Unknown,0,0,0,0,Low,snacks
8901719128462.0,Parle-G,"refined wheat flour (maida ) - 68%, sugar, refined palm oil, invert sugar syrup# [sugar, citric acid], iodised salt, raising agents [503 (ii), 500 (ii)], milk solids, flour treatment agent [1101 (i)] and emulsifier of vegetable origin [472e], contains added flavour ( artificial flavouring substances - vanilla) (d-glucose, levulose)",unknown,Unknown,0,0,0,0,Low,snacks
8901491101844.0,Lay's Potato Chips,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)","plastic, bag, metallized",Unknown,1,0,0,-1,Low,snacks
8901491101813.0,Lays 20rs,"potato, edible vegetable oil (palmolein oil), *seasoning (sugar, lodised salt, milk solids, &quot;spices & condiments, maltodextrin, flavour (natural and nature identical flavouring substances), cheese powder, hydrolysed vegetable protein, flavour enhancers (627, 631), edible vegetable oil (palm, coconut), anticaking agent (551)).",unknown,Unknown,0,0,0,0,Low,snacks
73935942400,"Manner - Chocolate Cream Filled Wafers, 2.5oz (72g)",test,unknown,Unknown,0,0,0,0,Low,snacks
8901233030548.0,Cadbury Dairy Milk,"sugar, milk solids16%, cocoa butter, cocoa solids, lactose, emulsifiers 442, 476",unknown,Unknown,0,0,0,0,Low,snacks
8901063162426.0,Marie gold,"refined wheat flour (maida) (73%), sugar, refined palm oil, invert sugar strup, milk products [milk solids & sweetened condensed partly skimmed milk], raising agents [503 (ii) & 500 (ii)], iodized salt, nature identical & artificial (milk & vanilla) flavouring substances, emulsifier (472e), calcium salt, dough conditioner (223), vitamins, ferrous salt, colour (150d) and potassiun iodate",unknown,Unknown,0,0,0,0,Low,snacks
8901491502030.0,Lay's American Style Cream & Onion Flavour,"potato, edible vegetable oil (palmolein, sunflower oil), 'seasoning (sugar, iodised salt, milk solids, ^spices & condiments, maltodextrin, flavour (natural and nature identical flavouring substances), cheese powder, hydrolysed vegetable protein, flavour enhancers (627, 631), edible vegetable oil (palm, coconut), anticaking agent (551)).contains onion allergen advice: contains _soy_, _milk_ may contain _sulphite_
'as flavouring agent ,^contsins onion",unknown,Unknown,0,0,0,0,Low,snacks
8901764175091.0,Fruit drink,"ngredients: water, mango pulp(11.5%), sugar, acidity regulators 030 33 stabilizer (466), antioxidant 300 ,sweetener (960), colour (110), mango flavours nature-dentical & artificial flavoring substances",unknown,Unknown,0,0,0,0,Low,snacks
8901063142015.0,Nutri Choice,"wheat flour (63%), refined palm oil, sugar, wheat bran (4.7%), liquid glucose, milk solids, maltodextrin, raising agents (ins 500, ins 503), iodised salt, emulsifiers (ins 322, ins 471, ins 472c), malt extract and dough conditioner (ins 223). contains wheat, milk, soya, barley and sulphite",unknown,Unknown,0,0,0,0,Low,snacks
8901063017627.0,Brit 50-50 maska chaska 40g (20),"refined wheat flour (maida), refined palm & palmolein oil, sugar, liquid glucose, raising agents [503(ii), 341(ii), 500(ii) & 450(i)], butter (1.2%), black salt, milk solids, dehydrated vegetable (chives) (1%), iodised salt, nature identical flavouring substance, dough conditioner (223) and improvers [1101(i)& xylanase]. (numbers in brackets as per international numbering system) contains wheat, milk and sulphite. store in a cool, hygienic and dry place. transfer contents to a clean airtight container once opened. juructries ltd. 5/1 a hungerford",unknown,Unknown,0,0,0,0,Low,snacks
8901491503037.0,American Style Cream & Onion 10rs,"potato, edible vegetable oil (palmolein, rice bran oil), *seasoning (sugar, iodised sat, _milk_ solids, ~spices & condiments, maltodextrin, flavour (natural and nature identical flavouring substances), cheese powder, hydrolysed vegetable protein, flavour enhancers (627, 631), edible vegetable oil (palm, coconut), anticaking agent (551)).
*as fiavouring agent. ~contains onion
allergen advice: contains _soy_, _milk_
may contain _sulphite_",plastic,Unknown,1,0,0,-1,Low,snacks
7622201756741.0,Sandwich Biscuit,"refined wheat flour (maida), sugar, fractionated fat, palmolein, cocoa solids (3%*), invert sugar, leavening agents (500(ii),503 (ii)), starch, lodised salt, emulsifier (322), nature identical flavouring substances",unknown,Unknown,0,0,0,0,Low,snacks
3168930007432.0,Chips barbecue,"potatoes 61%, sunflower oil, rapeseed oil, flavour (sugar, aroma ( soy ), bread crumbs ( wheat ), flavour enhancer (sodium glutamate), paprika, onion powder, tomato powder, garlic powder, corrector of acidity (citric acid, malic acid), colour(paprika extract), smoke flavourings), salt,","plastic, bag",Unknown,1,0,0,-1,Low,snacks
8992760221028.0,Oreo Original,"wheat  flour, sugar, non-hydrogenated vegetable oil (palm), cocoa powder, fructose syrup, sodium bicarbonate (ins500), ammonium bicarbonate (ins503), corn starch, salt,  soy  lecithin (ins322), vanilla flavor,",ldpe wrap,Unknown,0,0,0,0,Low,snacks
8901491365703.0,Puffcorn,"inredients: cereal products (67%) (corn meal (53%), rice meal (14%)), edible vegetable oil (palmolein), *seasoning (sugar, lodised salt, maltodextrin, spices and condiments, milk solids, cheese, salt replacer (potassium chloride), flavour (natural and nature identical flavouring substances), flavour enhancers (627, 631), acidity regulators (296, 330), emulsifying & stabilising agent ((331(iii), 471, 327)), gram meal (3.6%), calcium carbonate (170(i)), lodised salt. *as flavouring agent. contains onion and garlic allergen advice: contains soy, milk, wheat",plastic,Unknown,1,0,0,-1,Low,snacks
8901058903164.0,KitKat,"sugar, milk solids (16.2%),fractionated vegetable fat,  hydrogenated vegetable fats,refined wheat flour (maida), cocoa solids (4.5%), emulsifier (soya lecithin), yeast,raising agent (500(ii))artificial (vanilla)flavouring substance, lodized salt, flour treatment agent (516), and nature-identical flavouring substances contains wheat, milk, sesame and soy. may contains nut.",unknown,Unknown,0,0,0,0,Low,snacks
8901491503020.0,masala,"potato, edible vegetable oil (palmolein oil, rice bran oil), &quot;spices & condiments (onion powder, chili powder, dried mango powder, coriander seed powder, ginger powder, garlic powder, black pepper powder, spices extract, turmeric powder), lodised salt, black salt, tomato powder, citric acid (330). sugar, contains added flavour (natural & nature identical",unknown,Unknown,0,0,0,0,Low,snacks
8901725015879.0,Dark Fantasy Choco Fills,"choco cr√®me (40%) {sugar, refined palmolein, refined palm oil, cocoa solids, nature identical flavouring substances (chocolate) and artificial flavouring substances (vanilla)}, refined wheat flour (maida), hydrogenated vegetable oils, sugar, invert syrup, liquid glucose, raising agents [ins 503(ii), ins 500(ii), ins 450(i)], cocoa solids (0.7%), butter, milk solids, iodized salt, *nature identical flavouring substances (milk chocolate), colours (ins 150c, ins 150d), emulsifiers [lecithin (from soyabean), mono - and di-glycerides of fatty acids (from palm oil)] and artificial flavouring substances (milk, vanilla). contains wheat, milk, soy. may contain nut, sulphite.",unknown,Unknown,0,0,0,0,Low,snacks
8901719120800.0,Parle-G,"refined wheat flour (maida) (68%), sugar, refined palm oil, invert sugar syrup* [sugar, citric acid], 10dised salt, raising agents (503 (ii), 500 (i)], milk solids, flour treatment agent [1101 (ii)] and emulsifier of vegetable origin [472e] contains added flavour (artificial flavouring substances-vanilla) (d-glucose, levulose) contains: wheat, milk joonsumer care",unknown,Unknown,0,0,0,0,Low,snacks
8901063092617.0,Good Day Butter Cookies,"refined wheat flour (maida), sugar, refined palm oil, butter (2%), invert sugar syrup, milk solids, raising agents (503(ii), 500(ii)], iodised salt, emulsifiers [322(i), 471, 472e] and flavours [natural, nature identical & artificial (butter, milk & vamilla) flavouring substances]. (numbers in brackets as per international numbering system) contains wheat, milk and soya.",unknown,Unknown,0,0,0,0,Low,snacks
8901719117183.0,Hide & Seek,unknown,unknown,Unknown,0,0,0,0,Low,snacks
8901719105913.0,Hide & Seek,"refined wheat flour (maida), chocolate 23% (sugar, cocoa solids, cocoa butter, dextrose), sugar, refined palm oil, invert sugar syrup, raising agent, cocoa solids, iodised salts",plastic,Unknown,1,0,0,-1,Low,snacks
8901491100533.0,Chilli Chatka 20rs,"rice meal (43.2%), edible vegetable oil (palmolein oil), corn meal (20.0%), gram meal (3.3%), spices and condiments (chilli powder, onion powder, fennel powder, ajwain powder, cumin powder, garlic powder, coriander powder, black pepper powder, spice extract, fenugreek powder), sugar, salt, citric acid (330).",unknown,Unknown,0,0,0,0,Low,snacks
4000417224002.0,Ritter Sport Noir Noisettes Enti√®res,"sucre, p√¢te de cacao, _noisettes_, beurre de cacao, beurre concentr√© (_lait_), √©mulsifiant : l√©cithine (de _soja_), ar√¥me naturel.",plastique,Unknown,0,0,0,0,Low,snacks
8901491000789.0,Lays India's magic masala,"potato, edible vegetable oil (palmolein oil, rice bran oil), &quot;spices & condiments (onion powder, chilli powder, dried mango powder, coriander seed powder, ginger powder, garlic powder, black pepper powder, spices extract. turmeric powder), lodised salt, black sal sugar, tomato powder, citric acid (330).",plastic,Unknown,1,0,0,-1,Low,snacks
8901123001214.0,Lotte Choco Pie,"choco covering(25%) [sugar, hydrogenated vegetable fat (palm), cocoa solids, milk solids emulsifiers (322,476), artificial flavour (vanilla)], refined wheat flour (maida), sugar, liquid glucose interesterified & hydrogenated vegetable fat (palm), humectants (420, 422), raising agents [500(ii), 503)], milk solids, dextrose, preservatives (202, 281), iodised salt, stabilizers (407, 406, 440, 401, 461, 415), acidity regulator (341(i)] and artificial flavour (milk). (numbers indicated in bracket as per international numbering system) allergen information: contains wheat(gluten), milk & soya polyols may have laxative effects",unknown,Unknown,0,0,0,-1,Low,snacks
8901063019027.0,Little Hearts Classic,"refined wheat flour (maida), sugar (23%), refined palmolein&palm oil, raising agents [503 (ii) & 500(ii)], milk solids, iodised salt, yeast and emulsifier [322(i)]. (numbers in brackets as per international numbering system) contains wheat, milk and soya.",unknown,Unknown,0,0,0,0,Low,snacks
8901725118938.0,Tedhe Medhe - Bingo,chili powder extra,unknown,Unknown,0,0,0,0,Low,snacks
