barcode,name,brand,ingredients,packaging,eco_score
9990009860,instant noodles,mars,wheat flour salt oil,paper,9
9990003613,soft drink,ferrero,corn flakes sugar honey,metal,1
9990002348,energy drink,danone,sugar cocoa milk powder,metal,5
9990003629,rice,nestlé,corn flakes sugar honey,biodegradable,5
9990003067,rice,mars,corn flakes sugar honey,cardboard,3
9990009829,chocolate bar,danone,pasta tomato sauce olive oil,paper,5
9990005352,cereal,ferrero,wheat flour salt oil,cardboard,5
9990008779,pasta,unilever,wheat flour salt oil,plastic,9
9990008415,soft drink,mars,sugar cocoa milk powder,cardboard,3
9990003878,instant noodles,nestlé,rice water salt,paper,3
9990004182,rice,nestlé,rice water salt,biodegradable,1
9990005201,rice,cocacola,rice water salt,plastic,3
9990002821,energy drink,mars,sugar cocoa milk powder,carton,3
9990007946,pasta,danone,pasta tomato sauce olive oil,plastic,1
9990007206,soft drink,unilever,corn flakes sugar honey,biodegradable,9
9990006838,cereal,unilever,carbonated water sugar caffeine,carton,1
9990009198,pasta,mondelez,carbonated water sugar caffeine,metal,1
9990003303,rice,unilever,carbonated water sugar caffeine,carton,5
9990008123,instant noodles,nestlé,sugar cocoa milk powder,plastic,7
9990007961,instant noodles,mondelez,pasta tomato sauce olive oil,carton,5
9990006172,instant noodles,mondelez,wheat flour salt oil,carton,3
9990001452,rice,cocacola,corn flakes sugar honey,metal,7
9990008860,rice,nestlé,corn flakes sugar honey,plastic,3
9990002188,energy drink,ferrero,wheat flour salt oil,glass,5
9990008102,soft drink,cocacola,corn flakes sugar honey,biodegradable,1
9990007255,chocolate bar,mars,rice water salt,glass,9
9990002256,instant noodles,cocacola,rice water salt,paper,9
9990007176,cereal,mondelez,rice water salt,paper,1
9990007149,instant noodles,mondelez,sugar cocoa milk powder,glass,9
9990009091,energy drink,unilever,milk sugar cocoa butter,glass,5
9990008326,energy drink,mondelez,carbonated water sugar caffeine,cardboard,7
9990005909,chocolate bar,pepsico,sugar cocoa milk powder,carton,3
9990008583,soft drink,kelloggs,carbonated water sugar caffeine,paper,9
